Indicator,Group,State,Subgroup,Phase,"Time Period","Time Period Label","Time Period Start Date","Time Period End Date",Value,LowCI,HighCI,"Confidence Interval","Quartile range","Quartile number","Suppression Flag"
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Some college/Associate's degree",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,17.9,16.5,19.4,"16.5 - 19.4",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Bachelor's degree or higher",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,11.5,10.5,12.5,"10.5 - 12.5",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","With disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,32.2,28.9,35.8,"28.9 - 35.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","Without disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,11.9,10.9,12.9,"10.9 - 12.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By State","New York","New York",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,15.3,9.8,22.3,"9.8 - 22.3",14.9-17.5,3,
"Ever had COVID","National Estimate","United States","United States",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,48.3,47.4,49.2,"47.4 - 49.2",,,
"Ever had COVID","By Age","United States","18 - 29 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,56.2,53.2,59.2,"53.2 - 59.2",,,
"Ever had COVID","By Age","United States","30 - 39 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,54.6,52.2,57,"52.2 - 57.0",,,
"Ever had COVID","By Age","United States","40 - 49 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,55.1,52.9,57.3,"52.9 - 57.3",,,
"Ever had COVID","By Age","United States","50 - 59 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,47.3,45.2,49.5,"45.2 - 49.5",,,
"Ever had COVID","By Age","United States","60 - 69 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,39.1,37.3,41,"37.3 - 41.0",,,
"Ever had COVID","By Age","United States","70 - 79 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,35,32.2,37.9,"32.2 - 37.9",,,
"Ever had COVID","By Age","United States","80 years and above",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,29.3,24.9,34,"24.9 - 34.0",,,
"Ever had COVID","By Sex","United States",Male,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,46.2,44.6,47.8,"44.6 - 47.8",,,
"Ever had COVID","By Sex","United States",Female,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,50.2,49.1,51.4,"49.1 - 51.4",,,
"Ever had COVID","By Gender identity","United States","Cis-gender male",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,46.1,44.6,47.7,"44.6 - 47.7",,,
"Ever had COVID","By Gender identity","United States","Cis-gender female",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,50.3,49.1,51.5,"49.1 - 51.5",,,
"Ever had COVID","By Gender identity","United States",Transgender,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,38.3,27.4,50.1,"27.4 - 50.1",,,
"Ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,50.5,44.5,56.4,"44.5 - 56.4",,,
"Ever had COVID","By Sexual orientation","United States",Straight,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,48.1,47.2,49,"47.2 - 49.0",,,
"Ever had COVID","By Sexual orientation","United States",Bisexual,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,55.5,51.5,59.4,"51.5 - 59.4",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,53,50.1,55.8,"50.1 - 55.8",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,48.2,47.3,49,"47.3 - 49.0",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,40.4,37.4,43.4,"37.4 - 43.4",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,47.9,42.8,53.1,"42.8 - 53.1",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,50.8,46.1,55.5,"46.1 - 55.5",,,
"Ever had COVID","By Education","United States","Less than a high school diploma",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,41.1,35.7,46.6,"35.7 - 46.6",,,
"Ever had COVID","By Education","United States","High school diploma or GED",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,44.6,42.5,46.6,"42.5 - 46.6",,,
"Ever had COVID","By Education","United States","Some college/Associate's degree",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,50.7,49.2,52.1,"49.2 - 52.1",,,
"Ever had COVID","By Education","United States","Bachelor's degree or higher",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,51.1,50,52.2,"50.0 - 52.2",,,
"Ever had COVID","By Disability status","United States","With disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,46.9,44.3,49.5,"44.3 - 49.5",,,
"Ever had COVID","By Disability status","United States","Without disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,47.9,46.9,49,"46.9 - 49.0",,,
"Ever had COVID","By State","New York","New York",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,52.3,47.1,57.4,"47.1 - 57.4",50.8-55.5,4,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","National Estimate","United States","United States",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,79.9,76.8,82.9,"76.8 - 82.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","18 - 29 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,80.4,72.4,86.9,"72.4 - 86.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","30 - 39 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,80.6,74.4,85.8,"74.4 - 85.8",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","40 - 49 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,75.5,66.8,82.9,"66.8 - 82.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","50 - 59 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,83.4,78.6,87.4,"78.6 - 87.4",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","60 - 69 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,80.4,73.5,86.2,"73.5 - 86.2",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","70 - 79 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,78.1,65.9,87.5,"65.9 - 87.5",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Male,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,79.7,74.7,84,"74.7 - 84.0",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Female,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,80.1,76.4,83.5,"76.4 - 83.5",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender male",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,78.4,73,83.1,"73.0 - 83.1",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender female",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,80,76.3,83.3,"76.3 - 83.3",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States","Gay or lesbian",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,84.6,73.9,92.2,"73.9 - 92.2",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Straight,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,79,75.3,82.4,"75.3 - 82.4",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Bisexual,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,83.8,72.5,91.8,"72.5 - 91.8",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,79.4,69,87.5,"69.0 - 87.5",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,80.1,76.6,83.3,"76.6 - 83.3",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,74.7,63.7,83.7,"63.7 - 83.7",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","High school diploma or GED",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,79.4,72.2,85.4,"72.2 - 85.4",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Some college/Associate's degree",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,81.7,77.8,85.1,"77.8 - 85.1",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Bachelor's degree or higher",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,75.9,71.7,79.7,"71.7 - 79.7",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","With disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,90.9,87.1,93.9,"87.1 - 93.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","Without disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,74.1,70.3,77.6,"70.3 - 77.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","National Estimate","United States","United States",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,5.7,5.1,6.2,"5.1 - 6.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,5.2,4.1,6.5,"4.1 - 6.5",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.5,5.3,8,"5.3 - 8.0",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.2,5.4,7.2,"5.4 - 7.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.8,5.8,7.9,"5.8 - 7.9",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,5,4.1,6.1,"4.1 - 6.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,3.8,2.6,5.4,"2.6 - 5.4",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","80 years and above",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.3,1.2,3.8,"1.2 - 3.8",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Male,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,4.4,3.7,5.1,"3.7 - 5.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Female,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.9,6.2,7.6,"6.2 - 7.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,4.1,3.5,4.8,"3.5 - 4.8",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.9,6.2,7.6,"6.2 - 7.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,8.8,4.7,14.7,"4.7 - 14.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,7,4.6,10.1,"4.6 - 10.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,5.4,4.8,6,"4.8 - 6.0",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,9.2,7.4,11.3,"7.4 - 11.3",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.8,5.2,8.6,"5.2 - 8.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,5.9,5.3,6.6,"5.3 - 6.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,3.6,2.6,4.9,"2.6 - 4.9",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.5,1.6,3.8,"1.6 - 3.8",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.4,4.7,8.5,"4.7 - 8.5",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.1,3.7,9.5,"3.7 - 9.5",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,5,4.1,6.2,"4.1 - 6.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,7.4,6.7,8.2,"6.7 - 8.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,4.5,4,4.9,"4.0 - 4.9",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,13.8,12.1,15.7,"12.1 - 15.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,4.3,3.8,4.7,"3.8 - 4.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By State","New York","New York",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.9,3.9,11.1,"3.9 - 11.1",6.7-9.5,4,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","National Estimate","United States","United States",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,26.2,23,29.7,"23.0 - 29.7",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","18 - 29 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,26.5,17.6,37.1,"17.6 - 37.1",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","30 - 39 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,24.6,16.5,34.3,"16.5 - 34.3",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","40 - 49 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,24.8,19.3,31,"19.3 - 31.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","50 - 59 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,27.1,22.3,32.4,"22.3 - 32.4",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","60 - 69 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,26,19.1,34,"19.1 - 34.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","70 - 79 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,30.8,17.8,46.4,"17.8 - 46.4",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Male,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,24.1,19.2,29.5,"19.2 - 29.5",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Female,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,27.5,23.4,32,"23.4 - 32.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender male",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,21.1,16.9,25.7,"16.9 - 25.7",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender female",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,27.6,23.4,32.1,"23.4 - 32.1",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Straight,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,25.2,22,28.7,"22.0 - 28.7",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Bisexual,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,29,19.6,40.1,"19.6 - 40.1",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,35.2,24.9,46.5,"24.9 - 46.5",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,24.4,21.1,27.9,"21.1 - 27.9",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,18.5,11.8,27,"11.8 - 27.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,27.4,15.4,42.5,"15.4 - 42.5",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","High school diploma or GED",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,25.2,19.5,31.6,"19.5 - 31.6",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Some college/Associate's degree",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,26.3,22.3,30.7,"22.3 - 30.7",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Bachelor's degree or higher",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,18.9,15.5,22.8,"15.5 - 22.8",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","With disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,45.7,39.1,52.5,"39.1 - 52.5",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","Without disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,16,13.4,18.8,"13.4 - 18.8",,,
"Significant activity limitations from long COVID, as a percentage of all adults","National Estimate","United States","United States",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.9,1.6,2.2,"1.6 - 2.2",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.7,1.1,2.6,"1.1 - 2.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2,1.3,2.9,"1.3 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.1,1.6,2.6,"1.6 - 2.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.2,1.7,2.8,"1.7 - 2.8",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.6,1.1,2.3,"1.1 - 2.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.5,0.7,2.9,"0.7 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","80 years and above",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,0.9,0.2,2.5,"0.2 - 2.5",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Male,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.3,1,1.7,"1.0 - 1.7",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Female,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.4,2,2.8,"2.0 - 2.8",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.1,0.8,1.4,"0.8 - 1.4",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.4,2,2.9,"2.0 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.8,0.6,4.1,"0.6 - 4.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.7,1.4,2,"1.4 - 2.0",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,3.2,2.1,4.6,"2.1 - 4.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,3,1.9,4.5,"1.9 - 4.5",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.8,1.5,2.1,"1.5 - 2.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,0.9,0.6,1.4,"0.6 - 1.4",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,0.6,0.2,1.4,"0.2 - 1.4",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2,1,3.6,"1.0 - 3.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.6,1.2,2.1,"1.2 - 2.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.4,1.9,2.9,"1.9 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,1.1,0.9,1.3,"0.9 - 1.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,6.9,5.5,8.6,"5.5 - 8.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,0.9,0.7,1.1,"0.7 - 1.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By State","New York","New York",3.6,50,"Oct 5 - Oct 17, 2022",10/5/2022,10/17/2022,2.6,1.1,5,"1.1 - 5.0",>=3.8,4,
"Ever experienced long COVID, as a percentage of all adults","National Estimate","United States","United States",3.6,51,"Nov 2 - Nov 14, 2022",11/2/2022,11/14/2022,14.6,14,15.2,"14.0 - 15.2",,,
